C002,Dr. Helen,Roberts,Model.GP,General Practice,7654322,07111222334,h.roberts@birminghamgp.nhs.uk,S001,Model.GP Surgery,Part-time,2019-09-15
C001,Dr. David,Thompson,Model.GP,General Practice,7654321,07111222333,d.thompson@birminghamgp.nhs.uk,S001,Model.GP Surgery,Full-time,2018-04-01
C012,Dr. Paul,Harris,Consultant,Gastroenterology,7654329,07111222344,p.harris@queenshospital.nhs.uk,H002,Hospital,Full-time,2017-12-03
C011,Model.Nurse Robert,Green,Staff Model.Nurse,General Nursing,N654323,07111222343,r.green@heartlandshospital.nhs.uk,H001,Hospital,Full-time,2018-09-10
C010,Model.Nurse Jane,Phillips,Practice Model.Nurse,Practice Nursing,N654322,07111222342,j.phillips@solihullgp.nhs.uk,S002,Model.GP Surgery,Full-time,2020-05-20
C009,Sister Mary,Kelly,Senior Model.Nurse,General Nursing,N654321,07111222341,m.kelly@birminghamgp.nhs.uk,S001,Model.GP Surgery,Full-time,2019-01-15
C008,Dr. Jennifer,Lee,Consultant,Dermatology,7654328,07111222340,j.lee@birminghamhospital.nhs.uk,H003,Hospital,Part-time,2021-06-01
C007,Dr. Andrew,White,Consultant,Orthopaedics,7654327,07111222339,a.white@queenshospital.nhs.uk,H002,Hospital,Full-time,2019-03-18
C006,Dr. Maria,Rodriguez,Consultant,Neurology,7654326,07111222338,m.rodriguez@heartlandshospital.nhs.uk,H001,Hospital,Full-time,2016-11-05
C005,Dr. Richard,Evans,Consultant,Cardiology,7654325,07111222337,r.evans@heartlandshospital.nhs.uk,H001,Hospital,Full-time,2015-08-12
C004,Dr. Susan,Clarke,Model.GP,General Practice,7654324,07111222336,s.clarke@suttongp.nhs.uk,S003,Model.GP Surgery,Full-time,2020-01-10
C003,Dr. Mark,Davies,Model.GP,General Practice,7654323,07111222335,m.davies@solihullgp.nhs.uk,S002,Model.GP Surgery,Full-time,2017-02-20
